week,day,slot,post_type,pillar,hook,draft_copy,best_window_et,notes
1,Monday,1,short_take,pillar_1,"{{W1_MON_HOOK}}","{{W1_MON_DRAFT}}","9:00-11:00 AM","Ecosystem-update-friendly slot"
1,Tuesday,1,medium_thread,pillar_2,"{{W1_TUE_HOOK}}","{{W1_TUE_DRAFT}}","9:00-11:00 AM",""
1,Tuesday,2,short_take,pillar_3,"{{W1_TUE2_HOOK}}","{{W1_TUE2_DRAFT}}","2:00-4:00 PM",""
1,Wednesday,1,reply_chain,tier_1_engagement,"{{W1_WED_TARGET}}","{{W1_WED_DRAFT}}","Morning","Reply to 3-5 Tier 1 accounts"
1,Thursday,1,short_take,pillar_1,"{{W1_THU_HOOK}}","{{W1_THU_DRAFT}}","2:00-4:00 PM",""
1,Friday,1,quote_tweet,pillar_2,"{{W1_FRI_QT_TARGET}}","{{W1_FRI_DRAFT}}","Morning","Friday ship-day energy"
1,Saturday,1,short_take,pillar_4,"{{W1_SAT_HOOK}}","{{W1_SAT_DRAFT}}","8:00-10:00 PM","Cultural/personality slot"
1,Sunday,1,long_thread,pillar_1,"{{W1_SUN_HOOK}}","{{W1_SUN_DRAFT}}","Mid-morning","Sunday sits on timeline longer — use for thesis posts"
2,Monday,1,short_take,pillar_1,"{{W2_MON_HOOK}}","{{W2_MON_DRAFT}}","9:00-11:00 AM",""
2,Tuesday,1,medium_thread,pillar_2,"{{W2_TUE_HOOK}}","{{W2_TUE_DRAFT}}","9:00-11:00 AM",""
2,Wednesday,1,short_take,pillar_3,"{{W2_WED_HOOK}}","{{W2_WED_DRAFT}}","2:00-4:00 PM",""
2,Thursday,1,reply_chain,tier_1_engagement,"{{W2_THU_TARGET}}","{{W2_THU_DRAFT}}","Morning",""
2,Friday,1,short_take,pillar_4,"{{W2_FRI_HOOK}}","{{W2_FRI_DRAFT}}","Morning",""
2,Saturday,1,quote_tweet,pillar_2,"{{W2_SAT_QT_TARGET}}","{{W2_SAT_DRAFT}}","Afternoon",""
2,Sunday,1,short_take,pillar_1,"{{W2_SUN_HOOK}}","{{W2_SUN_DRAFT}}","Evening",""
3,Monday,1,medium_thread,pillar_3,"{{W3_MON_HOOK}}","{{W3_MON_DRAFT}}","9:00-11:00 AM",""
3,Tuesday,1,short_take,pillar_1,"{{W3_TUE_HOOK}}","{{W3_TUE_DRAFT}}","2:00-4:00 PM",""
3,Wednesday,1,quote_tweet,pillar_2,"{{W3_WED_QT_TARGET}}","{{W3_WED_DRAFT}}","Morning",""
3,Thursday,1,short_take,pillar_1,"{{W3_THU_HOOK}}","{{W3_THU_DRAFT}}","2:00-4:00 PM",""
3,Friday,1,reply_chain,tier_1_engagement,"{{W3_FRI_TARGET}}","{{W3_FRI_DRAFT}}","Morning",""
3,Saturday,1,short_take,pillar_4,"{{W3_SAT_HOOK}}","{{W3_SAT_DRAFT}}","Evening","Cultural/personality slot"
3,Sunday,1,long_thread,pillar_2,"{{W3_SUN_HOOK}}","{{W3_SUN_DRAFT}}","Mid-morning",""
4,Monday,1,short_take,pillar_1,"{{W4_MON_HOOK}}","{{W4_MON_DRAFT}}","9:00-11:00 AM",""
4,Tuesday,1,medium_thread,pillar_3,"{{W4_TUE_HOOK}}","{{W4_TUE_DRAFT}}","9:00-11:00 AM",""
4,Wednesday,1,short_take,pillar_2,"{{W4_WED_HOOK}}","{{W4_WED_DRAFT}}","2:00-4:00 PM",""
4,Thursday,1,short_take,pillar_1,"{{W4_THU_HOOK}}","{{W4_THU_DRAFT}}","Morning",""
4,Friday,1,long_thread,pillar_1,"{{W4_FRI_HOOK}}","{{W4_FRI_DRAFT}}","Morning","Monthly reflection-style thread"
4,Saturday,1,short_take,pillar_4,"{{W4_SAT_HOOK}}","{{W4_SAT_DRAFT}}","Evening",""
4,Sunday,1,quote_tweet,pillar_2,"{{W4_SUN_QT_TARGET}}","{{W4_SUN_DRAFT}}","Afternoon",""
